path,score
https://www.nerdstickers.com.br/todos/g-google/,"(74, 38)"
https://www.nerdstickers.com.br/todos/wireshark/,"(68, 38)"
https://www.nerdstickers.com.br/todos/metadata/,"(67, 38)"
https://www.nerdstickers.com.br/todos/choose-you-hero/,"(67, 38)"
https://www.nerdstickers.com.br/todos/heisenbergs-trailer/,"(53, 38)"
https://www.nerdstickers.com.br/todos/fullstack-dev/,"(61, 38)"
https://www.nerdstickers.com.br/todos/cloudflare/,"(66, 38)"
https://www.nerdstickers.com.br/todos/nerd/,"(75, 39)"
https://www.nerdstickers.com.br/todos/no-logs-no-crime/,"(70, 39)"
https://www.nerdstickers.com.br/todos/no-logs-no-crime/,"(70, 39)"
https://www.nerdstickers.com.br/todos/wireshark/,"(68, 38)"
https://www.nerdstickers.com.br/todos/dinogoogle/,"(69, 38)"
https://www.nerdstickers.com.br/todos/hello-world-2/,"(68, 38)"
https://www.nerdstickers.com.br/todos/fullstack-dev/,"(61, 38)"
https://www.nerdstickers.com.br/todos/kratos/,"(71, 38)"
https://www.nerdstickers.com.br/todos/meu-cafe/,"(68, 38)"
https://www.nerdstickers.com.br/todos/heisenbergs-trailer/,"(53, 38)"
https://www.nerdstickers.com.br/todos/fullstack-dev/,"(61, 38)"
https://www.nerdstickers.com.br/todos/combo-super-nerd/,"(68, 38)"
https://www.nerdstickers.com.br/todos/cisco-ii/,"(74, 38)"
https://www.nerdstickers.com.br/todos/cat-lover/,"(77, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/webcam-spy-blocker/,"(58, 38)"
https://www.nerdstickers.com.br/todos/one-piece/,"(73, 38)"
https://www.nerdstickers.com.br/todos/adesivo-hadouken-wifi/,"(58, 38)"
https://www.nerdstickers.com.br/todos/fullstack-dev/,"(61, 38)"
https://www.nerdstickers.com.br/todos/saw-cleaver/,"(68, 38)"
https://www.nerdstickers.com.br/todos/heisenberg-redblue/,"(54, 38)"
https://www.nerdstickers.com.br/todos/full-stack/,"(67, 38)"
https://www.nerdstickers.com.br/todos/cisco-ii/,"(74, 38)"
https://www.nerdstickers.com.br/todos/nerd/,"(75, 39)"
https://www.nerdstickers.com.br/todos/nerd/,"(75, 39)"
https://www.nerdstickers.com.br/todos/sith-empire-star-wars/,"(59, 38)"
https://www.nerdstickers.com.br/todos/cats-tea/,"(71, 38)"
https://www.nerdstickers.com.br/todos/outdoor/,"(69, 38)"
https://www.nerdstickers.com.br/todos/webcam-spy-blocker/,"(58, 38)"
https://www.nerdstickers.com.br/todos/webcam-spy-blocker/,"(58, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/dinogoogle/,"(69, 38)"
https://www.nerdstickers.com.br/todos/dinogoogle/,"(69, 38)"
https://www.nerdstickers.com.br/todos/hello-world-2/,"(68, 38)"
https://www.nerdstickers.com.br/todos/full-stack/,"(67, 38)"
https://www.nerdstickers.com.br/todos/saw-cleaver/,"(68, 38)"
https://www.nerdstickers.com.br/todos/meu-cafe/,"(68, 38)"
https://www.nerdstickers.com.br/todos/heisenberg-redblue/,"(54, 38)"
https://www.nerdstickers.com.br/todos/full-stack/,"(67, 38)"
https://www.nerdstickers.com.br/todos/combo-super-nerd/,"(68, 38)"
https://www.nerdstickers.com.br/todos/slack/,"(75, 38)"
https://www.nerdstickers.com.br/todos/coffee/,"(79, 38)"
https://www.nerdstickers.com.br/todos/cats-tea/,"(71, 38)"
https://www.nerdstickers.com.br/todos/cat-lover/,"(77, 38)"
https://www.nerdstickers.com.br/todos/cat-lover/,"(77, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/tor-projet-i/,"(79, 38)"
https://www.nerdstickers.com.br/todos/one-piece/,"(73, 38)"
https://www.nerdstickers.com.br/todos/one-piece/,"(73, 38)"
https://www.nerdstickers.com.br/todos/adesivo-hadouken-wifi/,"(58, 38)"
https://www.nerdstickers.com.br/todos/hack/,"(74, 38)"
https://www.nerdstickers.com.br/todos/linux/,"(75, 38)"
https://www.nerdstickers.com.br/todos/full-stack/,"(67, 38)"
https://www.nerdstickers.com.br/todos/death-stranding/,"(58, 38)"
https://www.nerdstickers.com.br/todos/lab/,"(73, 38)"
https://www.nerdstickers.com.br/todos/i-dump-you-ass/,"(70, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/super-pack-black-and-white-36-stickers/,"(38, 38)"
https://www.nerdstickers.com.br/todos/slack/,"(75, 38)"
https://www.nerdstickers.com.br/todos/sith-empire-star-wars/,"(59, 38)"
https://www.nerdstickers.com.br/todos/sith-empire-star-wars/,"(59, 38)"
https://www.nerdstickers.com.br/todos/good-vibes/,"(71, 38)"
https://www.nerdstickers.com.br/todos/outdoor/,"(69, 38)"
https://www.nerdstickers.com.br/todos/bob-caveman/,"(71, 38)"
https://www.nerdstickers.com.br/todos/tor-projet-i/,"(79, 38)"
https://www.nerdstickers.com.br/todos/hp-mascarado-copia/,"(56, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/linux/,"(75, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/i-dump-you-ass/,"(70, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/super-pack-black-and-white-36-stickers/,"(38, 38)"
https://www.nerdstickers.com.br/todos/evernote/,"(73, 38)"
https://www.nerdstickers.com.br/todos/coffee/,"(79, 38)"
https://www.nerdstickers.com.br/todos/coffee/,"(79, 38)"
https://www.nerdstickers.com.br/todos/star-wars-rogue-squadron/,"(53, 38)"
https://www.nerdstickers.com.br/todos/cat-lover/,"(77, 38)"
https://www.nerdstickers.com.br/todos/nerd-mode-on/,"(76, 39)"
https://www.nerdstickers.com.br/todos/malibu/,"(71, 38)"
https://www.nerdstickers.com.br/todos/bob-caveman/,"(71, 38)"
https://www.nerdstickers.com.br/todos/mr-robot-i/,"(77, 38)"
https://www.nerdstickers.com.br/todos/adesivo-dont-touch-my-laptop/,"(49, 38)"
https://www.nerdstickers.com.br/todos/bob-caveman/,"(71, 38)"
https://www.nerdstickers.com.br/todos/hack/,"(74, 38)"
https://www.nerdstickers.com.br/todos/hack/,"(74, 38)"
https://www.nerdstickers.com.br/todos/big-face-penguin/,"(63, 38)"
https://www.nerdstickers.com.br/todos/im-an-excellent-googler/,"(55, 38)"
https://www.nerdstickers.com.br/todos/death-stranding/,"(58, 38)"
https://www.nerdstickers.com.br/todos/lab/,"(73, 38)"
https://www.nerdstickers.com.br/todos/skeleton-on-the-beach/,"(62, 38)"
https://www.nerdstickers.com.br/todos/espiral/,"(72, 38)"
https://www.nerdstickers.com.br/todos/combo-developers/,"(64, 38)"
https://www.nerdstickers.com.br/todos/evernote/,"(73, 38)"
https://www.nerdstickers.com.br/todos/developer/,"(76, 38)"
https://www.nerdstickers.com.br/todos/good-vibes/,"(71, 38)"
https://www.nerdstickers.com.br/todos/good-vibes/,"(71, 38)"
https://www.nerdstickers.com.br/todos/malibu/,"(71, 38)"
https://www.nerdstickers.com.br/todos/nani/,"(80, 39)"
https://www.nerdstickers.com.br/todos/mr-robot-i/,"(77, 38)"
https://www.nerdstickers.com.br/todos/hp-mascarado-copia/,"(56, 38)"
https://www.nerdstickers.com.br/todos/hp-mascarado-copia/,"(56, 38)"
https://www.nerdstickers.com.br/todos/adesivo-dont-touch-my-laptop/,"(49, 38)"
https://www.nerdstickers.com.br/todos/bob-caveman/,"(71, 38)"
https://www.nerdstickers.com.br/todos/loading/,"(75, 38)"
https://www.nerdstickers.com.br/todos/big-face-penguin/,"(63, 38)"
https://www.nerdstickers.com.br/todos/espiral/,"(72, 38)"
https://www.nerdstickers.com.br/todos/computer/,"(78, 38)"
https://www.nerdstickers.com.br/todos/skeleton-on-the-beach/,"(62, 38)"
https://www.nerdstickers.com.br/todos/espiral/,"(72, 38)"
https://www.nerdstickers.com.br/todos/combo-developers/,"(64, 38)"
https://www.nerdstickers.com.br/todos/star-wars-rogue-squadron/,"(53, 38)"
https://www.nerdstickers.com.br/todos/star-wars-rogue-squadron/,"(53, 38)"
https://www.nerdstickers.com.br/todos/skull-and-roses/,"(72, 38)"
https://www.nerdstickers.com.br/todos/nerd-mode-on/,"(76, 39)"
https://www.nerdstickers.com.br/todos/enjoy-your-life/,"(68, 38)"
https://www.nerdstickers.com.br/todos/nani/,"(80, 39)"
https://www.nerdstickers.com.br/todos/fsociety/,"(73, 38)"
https://www.nerdstickers.com.br/todos/hp-mascarado/,"(60, 38)"
https://www.nerdstickers.com.br/todos/adesivo-wall-e-para-macbook/,"(51, 38)"
https://www.nerdstickers.com.br/todos/nani/,"(80, 39)"
https://www.nerdstickers.com.br/todos/linux-tux/,"(69, 38)"
https://www.nerdstickers.com.br/todos/espiral/,"(72, 38)"
https://www.nerdstickers.com.br/todos/over-tracer/,"(68, 38)"
https://www.nerdstickers.com.br/todos/van-at-sunset/,"(63, 38)"
https://www.nerdstickers.com.br/todos/developer-by-day/,"(68, 38)"
https://www.nerdstickers.com.br/todos/developer/,"(76, 38)"
https://www.nerdstickers.com.br/todos/developer/,"(76, 38)"
https://www.nerdstickers.com.br/todos/star-wars-choose-wisely/,"(56, 38)"
https://www.nerdstickers.com.br/todos/skull-and-roses/,"(72, 38)"
https://www.nerdstickers.com.br/todos/good-vibes/,"(71, 38)"
https://www.nerdstickers.com.br/todos/curtidas/,"(70, 38)"
https://www.nerdstickers.com.br/todos/enjoy-your-life/,"(68, 38)"
https://www.nerdstickers.com.br/todos/bob-chicken/,"(66, 38)"
https://www.nerdstickers.com.br/todos/fsociety/,"(73, 38)"
https://www.nerdstickers.com.br/todos/nani/,"(80, 39)"
https://www.nerdstickers.com.br/todos/loading/,"(75, 38)"
https://www.nerdstickers.com.br/todos/loading/,"(75, 38)"
https://www.nerdstickers.com.br/todos/linux-tux/,"(69, 38)"
https://www.nerdstickers.com.br/todos/developer-by-day/,"(68, 38)"
https://www.nerdstickers.com.br/todos/over-tracer/,"(68, 38)"
https://www.nerdstickers.com.br/todos/computer/,"(78, 38)"
https://www.nerdstickers.com.br/todos/van-at-sunset/,"(63, 38)"
https://www.nerdstickers.com.br/todos/developer-by-day/,"(68, 38)"
https://www.nerdstickers.com.br/todos/hardwork/,"(67, 38)"
https://www.nerdstickers.com.br/todos/rupaul/,"(74, 38)"
https://www.nerdstickers.com.br/todos/skull-and-roses/,"(72, 38)"
